,Season,Episode,Rating,Votes,WrittenBy,Michael,Dwight,Jim,Pam,Andy,Kevin,Angela,Oscar,Erin,Ryan,Darryl,Phyllis,Kelly,Jan,Toby,Stanley,Meredith,Holly,Nellie,Creed,Gabe,Robert,David,Karen,Clark,Roy,Pete,David Wallace
42,3,15,8.2,2641,Caroline Williams,49.0,25.0,19.0,15.0,,4.0,3.0,,,,,15.0,6.0,,2.0,2.0,1.0,,,,,,,4.0,,9.0,,
43,3,16,8.9,3028,Brent Forrester,65.0,25.0,20.0,29.0,,7.0,5.0,9.0,,16.0,,,11.0,,3.0,2.0,12.0,,,8.0,,,,6.0,,8.0,,
44,3,17,8.5,2622,Paul Lieberstein,85.0,35.0,22.0,24.0,,12.0,3.0,1.0,,12.0,,,4.0,47.0,5.0,5.0,2.0,,,2.0,,,8.0,14.0,,24.0,,
45,3,18,9.0,2968,Michael Schur,107.0,18.0,41.0,16.0,2.0,8.0,11.0,4.0,,9.0,43.0,4.0,14.0,30.0,17.0,4.0,,,,3.0,,,,16.0,,8.0,,
46,3,19,8.8,2798,B. J. Novak,102.0,70.0,31.0,21.0,34.0,22.0,5.0,3.0,,9.0,32.0,3.0,11.0,,8.0,5.0,,,,4.0,,,,5.0,,,,
47,3,20,8.8,2790,Justin Spitzer | Brent Forrester,68.0,42.0,74.0,16.0,56.0,10.0,25.0,9.0,,3.0,,1.0,25.0,,,1.0,,,,15.0,,,,4.0,,,,
48,3,21,8.8,2785,Gene Stupnitsky | Lee Eisenberg,92.0,46.0,33.0,36.0,16.0,11.0,11.0,,,5.0,,12.0,7.0,17.0,7.0,2.0,5.0,,,6.0,,,,15.0,,,,
49,3,22,9.1,3200,Jennifer Celotta | Greg Daniels,145.0,50.0,30.0,30.0,21.0,6.0,8.0,5.0,,5.0,,5.0,9.0,,4.0,12.0,7.0,,,2.0,,,9.0,9.0,,,,
50,3,23,9.3,3461,Paul Lieberstein | Michael Schur,123.0,70.0,65.0,51.0,30.0,17.0,6.0,12.0,,4.0,,5.0,7.0,43.0,,7.0,6.0,,,3.0,,,47.0,40.0,,,,
51,4,1,8.8,3262,Greg Daniels,160.0,57.0,53.0,84.0,10.0,21.0,50.0,14.0,,8.0,5.0,9.0,7.0,7.0,11.0,10.0,25.0,,,9.0,,,,,,,,
52,4,2,8.3,2605,Michael Schur,158.0,74.0,48.0,56.0,14.0,16.0,23.0,8.0,,85.0,,13.0,24.0,17.0,18.0,5.0,,,,15.0,,,,,,,,
53,4,3,8.4,2517,Jennifer Celotta,156.0,88.0,70.0,31.0,47.0,17.0,52.0,12.0,,7.0,9.0,9.0,12.0,6.0,8.0,7.0,14.0,,,1.0,,,,,,,,
54,4,4,8.7,2707,Paul Lieberstein,159.0,53.0,52.0,56.0,25.0,12.0,10.0,32.0,,21.0,10.0,3.0,13.0,40.0,2.0,7.0,1.0,,,7.0,,,,,,,,
55,4,5,8.8,2767,B. J. Novak,92.0,11.0,47.0,22.0,21.0,3.0,2.0,1.0,,8.0,10.0,7.0,,,2.0,1.0,3.0,,,2.0,,,,,,,,3.0
56,4,6,8.5,2545,Mindy Kaling,90.0,44.0,78.0,26.0,12.0,2.0,1.0,12.0,,,,2.0,,,10.0,10.0,1.0,,,,,,,25.0,,,,
57,4,7,8.2,2459,Steve Carell,82.0,36.0,69.0,23.0,7.0,2.0,7.0,7.0,,,,4.0,1.0,,16.0,2.0,5.0,,,12.0,,,,,,,,
58,4,8,8.7,2574,Lester Lewis,89.0,5.0,27.0,25.0,6.0,4.0,1.0,4.0,,10.0,3.0,3.0,15.0,30.0,4.0,3.0,1.0,,,3.0,,,3.0,,,,,1.0
59,4,9,9.4,4824,Gene Stupnitsky | Lee Eisenberg,101.0,18.0,42.0,35.0,14.0,,14.0,,,,,1.0,,90.0,,1.0,,,,,,,,,,,,
60,4,10,8.1,2439,B. J. Novak,100.0,22.0,26.0,42.0,14.0,20.0,4.0,2.0,,,,9.0,7.0,,1.0,1.0,,,,3.0,,,,,,,,
61,4,11,8.6,2536,Mindy Kaling,104.0,48.0,43.0,17.0,4.0,4.0,5.0,8.0,,70.0,,5.0,5.0,,8.0,6.0,1.0,,,2.0,,,,,,,,
62,4,12,8.3,2434,Brent Forrester | Justin Spitzer,99.0,32.0,31.0,30.0,23.0,8.0,3.0,2.0,,14.0,13.0,9.0,6.0,,13.0,23.0,1.0,,,1.0,,,,,,,,
63,4,13,7.8,2305,Lee Eisenberg | Gene Stupnitsky,76.0,10.0,21.0,34.0,14.0,9.0,4.0,5.0,,,6.0,2.0,1.0,,,,1.0,,,4.0,,,,,,,,
64,4,14,9.3,3453,Jennifer Celotta | Paul Lieberstein,167.0,49.0,77.0,47.0,12.0,23.0,17.0,4.0,,5.0,3.0,23.0,4.0,24.0,51.0,5.0,9.0,73.0,,8.0,,,,,,,,
65,5,1,8.8,2880,Lee Eisenberg | Gene Stupnitsky,130.0,61.0,68.0,36.0,31.0,14.0,26.0,24.0,,20.0,13.0,16.0,17.0,13.0,3.0,8.0,7.0,56.0,,5.0,,,,,,,,
66,5,2,8.3,2327,Ryan Koh,64.0,14.0,29.0,9.0,12.0,13.0,2.0,7.0,,12.0,,6.0,3.0,,,5.0,23.0,53.0,,2.0,,,,,,,,
67,5,3,8.0,2292,Aaron Shure,83.0,39.0,28.0,25.0,13.0,12.0,16.0,4.0,,,9.0,7.0,2.0,51.0,3.0,2.0,1.0,14.0,,2.0,,,,,,,,
68,5,4,8.1,2213,Charlie Grandy,94.0,33.0,36.0,11.0,7.0,5.0,8.0,5.0,,,8.0,24.0,,,,1.0,,36.0,,2.0,,,,,,14.0,,5.0
69,5,5,8.1,2289,Anthony Q. Farrell,101.0,38.0,25.0,25.0,44.0,5.0,8.0,6.0,,4.0,55.0,5.0,7.0,,,1.0,1.0,73.0,,2.0,,,,,,,15.0,
70,5,6,8.5,2371,Lester Lewis,73.0,99.0,111.0,34.0,29.0,2.0,6.0,,,6.0,1.0,4.0,23.0,,,4.0,1.0,,,,,,,,,,,
71,5,7,8.2,2201,Brent Forrester,77.0,16.0,22.0,14.0,69.0,2.0,10.0,38.0,,13.0,,2.0,15.0,,,3.0,5.0,,,1.0,,,,,,,,14.0
72,5,8,8.6,2447,Mindy Kaling,90.0,38.0,31.0,26.0,6.0,2.0,2.0,3.0,,18.0,,3.0,10.0,,29.0,,2.0,,,2.0,,,11.0,,,,,
73,5,9,8.8,2437,Gene Stupnitsky | Lee Eisenberg,100.0,29.0,31.0,58.0,18.0,3.0,23.0,31.0,,,,2.0,1.0,,2.0,4.0,1.0,,,1.0,,,6.0,,,,,
74,5,10,8.4,2300,Justin Spitzer,65.0,27.0,26.0,6.0,8.0,3.0,12.0,5.0,,,6.0,19.0,1.0,,15.0,4.0,36.0,,,1.0,,,,,,,,
75,5,11,8.7,2376,Jennifer Celotta,52.0,66.0,34.0,9.0,65.0,8.0,22.0,10.0,,,,3.0,2.0,,,2.0,6.0,,,2.0,,,8.0,,,,,
76,5,12,8.0,2298,B. J. Novak,90.0,73.0,13.0,5.0,5.0,14.0,3.0,3.0,,,,4.0,2.0,,,5.0,2.0,,,1.0,,,9.0,,,,,
77,5,13,9.7,7058,Paul Lieberstein,118.0,73.0,35.0,32.0,23.0,8.0,16.0,11.0,,,6.0,11.0,3.0,,,28.0,3.0,,,4.0,,,1.0,,,,,9.0
78,5,14,8.2,2169,Mindy Kaling,55.0,25.0,34.0,35.0,27.0,,,1.0,,,,3.0,8.0,,,7.0,,,,5.0,,,,20.0,,,,
79,5,15,8.2,2132,Mindy Kaling,50.0,33.0,33.0,38.0,,18.0,19.0,13.0,,,,1.0,18.0,,,2.0,9.0,,,2.0,,,,2.0,,,,
80,5,16,8.0,2164,Brent Forrester,86.0,31.0,35.0,32.0,,15.0,4.0,14.0,,,,11.0,9.0,,,2.0,3.0,,,,,,,,,,,
81,5,17,8.7,2333,Mindy Kaling,113.0,71.0,39.0,24.0,12.0,10.0,,7.0,,,3.0,,,,,1.0,,,,2.0,,,25.0,,,,,
82,5,18,8.3,2194,Lee Eisenberg | Gene Stupnitsky,104.0,21.0,30.0,14.0,6.0,5.0,8.0,3.0,,,,3.0,7.0,,,2.0,1.0,,,2.0,,,18.0,,,,,
83,5,19,8.4,2181,Aaron Shure,88.0,12.0,26.0,38.0,14.0,13.0,6.0,12.0,,,,3.0,6.0,,1.0,7.0,2.0,,,1.0,,,,,,,,
84,5,20,8.3,2182,B. J. Novak,78.0,17.0,35.0,65.0,16.0,10.0,3.0,1.0,,11.0,,2.0,1.0,,,4.0,,,,1.0,,,,,,,,
85,5,21,8.7,2391,Justin Spitzer,46.0,28.0,28.0,45.0,18.0,2.0,,5.0,16.0,25.0,,1.0,5.0,,3.0,3.0,1.0,,,2.0,,,,,,,,
86,5,22,8.7,2250,Ryan Koh,95.0,83.0,27.0,18.0,31.0,1.0,,,,9.0,,5.0,1.0,,,1.0,,,,,,,,,,,,
87,5,23,9.2,2942,Charlie Grandy,76.0,25.0,29.0,33.0,3.0,1.0,2.0,,1.0,24.0,,1.0,2.0,,,1.0,,,,,,,36.0,,,,,1.0
88,5,24,8.3,2162,Anthony Q. Farrell,95.0,49.0,29.0,30.0,12.0,1.0,5.0,5.0,10.0,25.0,1.0,13.0,2.0,,13.0,12.0,8.0,,,9.0,,,,,,,,
89,5,25,8.7,2454,Warren Lieberstein | Halsted Sullivan,85.0,32.0,17.0,19.0,16.0,15.0,17.0,6.0,23.0,2.0,,27.0,11.0,,,2.0,1.0,,,3.0,,,,,,,,
90,5,26,9.0,2581,Jennifer Celotta | Paul Lieberstein,55.0,41.0,24.0,25.0,12.0,5.0,3.0,2.0,3.0,,,4.0,,,2.0,2.0,2.0,38.0,,,,,13.0,,,,,
91,6,1,8.8,2504,Paul Lieberstein,95.0,20.0,42.0,27.0,38.0,14.0,5.0,10.0,7.0,1.0,,7.0,9.0,,1.0,12.0,4.0,,,6.0,,,,,,,,
92,6,2,8.1,2057,Aaron Shure,71.0,32.0,19.0,24.0,7.0,1.0,3.0,7.0,3.0,5.0,15.0,2.0,3.0,,26.0,2.0,6.0,,,4.0,,,34.0,,,,,1.0
93,6,3,8.0,2052,Jennifer Celotta,86.0,29.0,91.0,17.0,3.0,14.0,5.0,12.0,3.0,5.0,,13.0,4.0,,,3.0,9.0,,,3.0,,,,,,,,6.0
94,6,4,9.4,4055,Greg Daniels | Mindy Kaling,129.0,84.0,56.0,70.0,33.0,30.0,12.0,9.0,10.0,3.0,,3.0,3.0,,4.0,7.0,6.0,,,,,,,,,,6.0,
95,6,5,9.4,2509,Greg Daniels | Mindy Kaling,122.0,50.0,14.0,5.0,57.0,17.0,,18.0,7.0,4.0,,1.0,,,3.0,,3.0,,,1.0,,,,,,,,
96,6,6,7.6,2156,Brent Forrester,85.0,30.0,60.0,60.0,9.0,6.0,5.0,6.0,12.0,8.0,,2.0,10.0,,15.0,1.0,4.0,,,1.0,,,,,,,,
97,6,7,8.6,2262,Lee Eisenberg | Gene Stupnitsky,85.0,14.0,49.0,39.0,37.0,10.0,10.0,11.0,17.0,1.0,7.0,9.0,2.0,,,3.0,8.0,,,3.0,,,,,,,,
98,6,8,8.2,2047,Warren Lieberstein | Halsted Sullivan,114.0,50.0,26.0,70.0,28.0,6.0,2.0,3.0,3.0,8.0,,2.0,5.0,,7.0,1.0,1.0,,,2.0,,,,,,,,
99,6,9,8.1,2018,Charlie Grandy,67.0,30.0,47.0,12.0,24.0,11.0,6.0,8.0,15.0,1.0,,5.0,1.0,,,6.0,4.0,,,2.0,,,4.0,,,,,
100,6,10,8.6,2385,Daniel Chun,71.0,26.0,37.0,12.0,14.0,4.0,,18.0,3.0,18.0,,7.0,,,,4.0,1.0,,,1.0,,,14.0,,,,,
101,6,11,8.2,2034,Justin Spitzer,68.0,36.0,38.0,14.0,22.0,6.0,3.0,2.0,21.0,4.0,,4.0,1.0,,,2.0,,,,1.0,,,8.0,,,,,1.0
102,6,12,8.3,2345,Gene Stupnitsky | Lee Eisenberg,95.0,37.0,39.0,16.0,16.0,13.0,6.0,13.0,11.0,8.0,,27.0,3.0,,6.0,5.0,3.0,,,2.0,,,19.0,,,,,
103,6,13,8.5,2162,Mindy Kaling,44.0,17.0,,5.0,1.0,2.0,2.0,,,1.0,,,,,18.0,,,,,,,,,,,,,
104,6,14,6.8,2665,Jason Kessler,82.0,9.0,26.0,25.0,10.0,1.0,2.0,5.0,6.0,,,1.0,,,2.0,1.0,2.0,,,1.0,18.0,,34.0,,,,,
105,6,15,7.7,1963,Jennifer Celotta,68.0,39.0,33.0,5.0,24.0,5.0,1.0,6.0,23.0,19.0,,4.0,11.0,,,,4.0,,,,5.0,,,,,,,
106,6,16,8.1,1942,Mindy Kaling,117.0,47.0,134.0,126.0,25.0,29.0,19.0,3.0,35.0,2.0,,6.0,3.0,,1.0,3.0,6.0,,,1.0,,,,,13.0,,,
107,6,17,8.4,2048,Daniel Chun,52.0,29.0,40.0,1.0,24.0,3.0,3.0,4.0,20.0,3.0,,1.0,3.0,,,1.0,4.0,,,,3.0,,,,,,,
108,6,18,8.5,2065,Daniel Chun,85.0,43.0,51.0,3.0,15.0,8.0,6.0,1.0,7.0,3.0,9.0,18.0,8.0,,2.0,11.0,3.0,,,,7.0,,,,,,,
109,6,19,7.7,1922,Jonathan Hughes,74.0,34.0,33.0,31.0,35.0,7.0,17.0,20.0,16.0,5.0,10.0,6.0,4.0,,,1.0,1.0,,,1.0,,,,,,,,
110,6,20,7.8,1885,Brent Forrester,46.0,17.0,8.0,28.0,25.0,20.0,5.0,6.0,52.0,5.0,3.0,3.0,5.0,,3.0,,9.0,,,,23.0,,,,,,,
111,6,21,8.6,2199,B. J. Novak,86.0,45.0,37.0,27.0,3.0,8.0,3.0,9.0,9.0,4.0,4.0,4.0,28.0,,,2.0,,,,1.0,15.0,,,,,,,
112,6,22,7.9,1892,Mindy Kaling,92.0,38.0,14.0,42.0,30.0,,,1.0,3.0,4.0,26.0,,7.0,,,3.0,1.0,,,2.0,4.0,,,,,,,
113,6,23,8.0,1922,Justin Spitzer,82.0,36.0,21.0,30.0,41.0,6.0,17.0,3.0,11.0,11.0,4.0,8.0,5.0,,5.0,2.0,3.0,,,4.0,6.0,,,,,,,
114,6,24,8.2,1920,Gene Stupnitsky | Lee Eisenberg,67.0,19.0,13.0,17.0,17.0,7.0,4.0,2.0,4.0,2.0,6.0,5.0,5.0,,7.0,2.0,,,,2.0,5.0,,,,,,,1.0
115,6,25,7.8,1850,Aaron Shure,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,6,26,8.0,1909,Warren Lieberstein | Halsted Sullivan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,7,1,8.4,2220,Daniel Chun,58.0,21.0,22.0,25.0,16.0,5.0,3.0,8.0,7.0,3.0,5.0,7.0,5.0,,3.0,5.0,3.0,,,4.0,11.0,,,,,,,
118,7,2,8.2,1991,B. J. Novak,31.0,48.0,34.0,39.0,13.0,,4.0,7.0,4.0,3.0,4.0,3.0,6.0,,35.0,3.0,,,,1.0,17.0,,,,,,,
119,7,3,8.2,2119,Charlie Grandy,43.0,17.0,19.0,17.0,49.0,,16.0,1.0,19.0,,11.0,4.0,2.0,,,2.0,1.0,,,2.0,,,,,,,,
120,7,4,7.9,1937,Paul Lieberstein,88.0,41.0,4.0,8.0,40.0,10.0,2.0,7.0,4.0,1.0,8.0,5.0,5.0,16.0,,4.0,7.0,16.0,,2.0,3.0,,,,,,,
121,7,5,7.8,1896,Mindy Kaling,85.0,56.0,59.0,10.0,38.0,12.0,2.0,16.0,2.0,3.0,23.0,8.0,3.0,,,5.0,15.0,,,2.0,,,,,,,,
122,7,6,8.2,1971,Justin Spitzer,59.0,14.0,27.0,24.0,16.0,19.0,5.0,8.0,7.0,6.0,26.0,5.0,5.0,,4.0,7.0,1.0,,,3.0,14.0,,,,,,,
123,7,7,7.4,1966,Peter Ocko,74.0,16.0,38.0,33.0,25.0,4.0,8.0,2.0,9.0,6.0,2.0,5.0,2.0,,3.0,3.0,,,,,2.0,,,,,,,
124,7,8,7.8,1925,Jon Vitti,56.0,26.0,18.0,23.0,27.0,9.0,9.0,7.0,42.0,3.0,,12.0,13.0,,,1.0,,,,4.0,18.0,,,,,,,
125,7,9,7.7,1871,Aaron Shure,66.0,24.0,24.0,28.0,10.0,9.0,20.0,5.0,7.0,54.0,,1.0,5.0,,,7.0,,,,3.0,8.0,,,,,,,
126,7,10,8.2,1958,Halsted Sullivan | Warren Lieberstein,56.0,48.0,27.0,45.0,23.0,8.0,3.0,25.0,10.0,7.0,13.0,3.0,8.0,,,6.0,2.0,,,2.0,1.0,,,,,,,
127,7,11,9.0,2514,Mindy Kaling,130.0,38.0,50.0,69.0,28.0,15.0,26.0,12.0,18.0,11.0,23.0,13.0,14.0,,25.0,5.0,10.0,50.0,,4.0,6.0,5.0,,,,,,
128,7,12,8.3,2002,Carrie Kemper,75.0,34.0,8.0,31.0,21.0,19.0,7.0,3.0,21.0,6.0,21.0,9.0,10.0,,,,1.0,19.0,,13.0,2.0,,,,,,,
129,7,13,7.7,1904,Steve Hely,37.0,19.0,24.0,18.0,51.0,9.0,,14.0,25.0,8.0,3.0,3.0,12.0,,,2.0,,12.0,,2.0,7.0,,12.0,,,,,
130,7,14,8.5,2065,Brent Forrester,42.0,26.0,32.0,36.0,14.0,7.0,1.0,12.0,14.0,6.0,8.0,10.0,9.0,,,3.0,3.0,30.0,,,25.0,,,,,,,
131,7,15,8.4,2048,Robert Padnick,73.0,24.0,23.0,24.0,37.0,13.0,9.0,17.0,38.0,6.0,16.0,3.0,1.0,,,1.0,1.0,38.0,,1.0,21.0,,,,,,,
132,7,16,9.4,4236,B. J. Novak,33.0,3.0,6.0,4.0,2.0,2.0,,,1.0,1.0,,,1.0,1.0,,,,15.0,,1.0,,,,1.0,,,,
133,7,17,7.5,1872,Amelie Gillette,57.0,41.0,38.0,36.0,29.0,13.0,1.0,1.0,10.0,4.0,,1.0,3.0,,,1.0,3.0,32.0,,,1.0,,,,,,,
134,7,18,9.3,3216,Jon Vitti,72.0,31.0,24.0,32.0,17.0,18.0,1.0,7.0,,9.0,10.0,3.0,3.0,,,1.0,3.0,47.0,,,1.0,,,,,,,
135,7,19,7.8,1950,Daniel Chun,68.0,10.0,10.0,8.0,12.0,4.0,4.0,5.0,10.0,2.0,8.0,2.0,5.0,,,3.0,1.0,,,,4.0,,,,,,,
136,7,20,9.0,2598,Mindy Kaling,82.0,13.0,24.0,15.0,4.0,6.0,2.0,6.0,12.0,6.0,3.0,3.0,,,2.0,3.0,6.0,,,1.0,2.0,,,,,,,
137,7,21,9.8,6909,Greg Daniels,116.0,16.0,18.0,20.0,24.0,11.0,12.0,6.0,12.0,3.0,3.0,18.0,3.0,,5.0,7.0,6.0,6.0,,2.0,10.0,,,,,,,
138,7,22,7.7,1918,Charlie Grandy,,20.0,40.0,24.0,9.0,13.0,4.0,2.0,3.0,15.0,8.0,4.0,15.0,,1.0,,,,,,8.0,,,,,,,
